kelime,sesli,anlam,hece
gacırtı,aıı,Gacırdama sırasında çıkan sesin adı,3
gacırtılı,aııı,Gacırtısı olan,4
gacırtısız,aııı,Gacırtısı olmayan,4
gaddar,aa,"Acıması olmayan, başkalarına haksızlık eden, merhametsiz, katı yürekli, insafsız davranan; kıyak, kıyıcı (III)",2
gaddarca,aaa,"Gaddara yakışır, gaddara uygun",3
gaddarlık etmek,aaıee,"gaddarca, insafsızca davranmak, kıyıcılık etmek",5
gaddarlık,aaı,Gaddar olma durumu; kıyıcılık,3
gadir,ai,"Haksızlık etme, zarar verme; gadirlik",2
gadirlik,aii,gadir,3
gadolinyum,aoiu,"Atom numarası 64, atom ağırlığı 156,9 olan, yüksek ısıda eriyen, birtakım tuzları bilinen, parlak gri renkte katı element (simgesi Gd)",4
gadretme,aee,Gadretmek işi,3
gadretmek,aee,Haksızlık etmek,3
gadrolma,aoa,Gadrolmak işi,3
gadrolmak,aoa,Haksızlığa uğramak,3
gadrolunma,aoua,Gadrolunmak işi,4
gadrolunmak,aoua,Haksızlığa uğratılmak,4
gaf,a,"Yersiz, beceriksiz, zamansız söz veya davranış; pot (I)",1
gaffar,aa,"Kullarının günahlarını affeden, bağışlayan (Tanrı)",2
gafil,ai,aymaz,2
gafilane,aiae,"Dikkatsizlikle, gaflet içinde bulunan kimseye yakışan bir biçimde",4
gafillik etmek,aiiee,"çevresindeki gerçekleri görmemek, sezmemek",5
gafillik,aii,aymazlık,3
gaflet,ae,aymazlık,2
gaflet etmek,aeee,gaflette bulunmak,4
gaflet uykusu,aeuuu,Dalgınlıktan ileri gelen uyuşukluk,5
gafur,au,"Çok bağışlayıcı, merhamet eden ve bağışlayan (Tanrı)",2
gaga,aa,"Genellikle kuşlarda ağzın bir uzantısı durumunda olan, biçim ve büyüklüğü değişik, boynuz yapısında, katı ve çıkıntılı organ",2
gaga burun,aauu,Burnu uzun ve aşağıya doğru kıvrık olan (kimse),4
gagaburun,aauu,Baş bodoslaması gagayı andırır biçimde yapılmış ticaret yelkenlisi; gagalı,4
gagalama,aaaa,Gagalamak işi,4
gagalamak,aaaa,"Kuş, gagasıyla yemi toplamak",4
gagalanma,aaaa,Gagalanmak işi,4
gagalanmak,aaaa,Gagalama işi yapılmak,4
gagalaşma,aaaa,Gagalaşmak işi,4
gagalı memeli,aaıeei,"Tek deliklilerin gagalı memeliler familyasından, vücudu yumuşak tüylerle kaplı, eti yenen, Avustralya ve Tasmanya ırmaklarında yaşayan bir tür memeli; ornitorenk (Ornithorhynchus anatinus)",6
gagalı memeliler,aaıeeie,"Örnek türü gagalı memeli olan, tek delikliler takımının bir familyası",7
gagamsı,aaı,"Gagayı andıran, gagaya benzeyen, gaga gibi",3
Gagavuz,aau,Moldova Cumhuriyeti’ne bağlı özerk Gagauz Yeri’nde yaşayan Türk halkı ve bu halkın soyundan olan kimse,3
Gagavuzca,aaua,Gagavuz Türkçesi,4
gâh,,ara sıra,0
gâhi,i,ara sıra,1
gâhice,ie,ara sıra,2
gaile,aie,"Sıkıntı, dert, keder, üzüntü",3
gaileli,aiei,"Başa dert olan, üzüntü veren, gaile çıkaran",4
gailesiz,aiei,Gaile çıkarmayan,4
gailesizlik,aieii,Gailesiz olma durumu,5
gaip,ai,Görünmez âlem,2
gaiplik,aii,Gaip olma durumu,3
gaita,aia,İnsan dışkısı,3
gak,a,Karganın çıkardığı ses,1
gaklama,aaa,Gaklamak işi,3
gaklamak,aaa,"Karga, ""gak"" diye ses çıkarmak",3
gala,aa,Resmî bir törenden sonra yapılan büyük ve gösterişli şölen,2
galaksi,aai,gök ada,3
galalit,aai,Arı kazeinden oluşan ve birçok işte kullanılan plastik bir madde,3
galat,aa,Yanlış kelime veya söz,2
galatıhis,aaıi,yanılsama,4
galatımeşhur,aaıeu,"Yaygınlaştığı için yanlışlığına önem verilmeden kullanılagelen söz, deyim, terim; yaygın yanlış",5
gale,ae,"İçerisinde kalıp yapılan üç tarafı kaplı, bir tarafı açık tepsi şeklinde dizgi aleti",2
galebe,aee,yengi,3
galenit,aei,İçinde doğal kurşun bulunan sülfür,3
galeri,aei,Bir yapının birçok bölümünü aynı katta birbirine bağlayan içten veya dıştan yapılmış geniş geçit,3
galerici,aeii,Galeri işleten kimse,4
galericilik,aeiii,Galericinin yaptığı iş,5
galeta,aea,Fırında pişirilerek kurutulmuş yuvarlak ve uzun peksimet,3
galeta unu,aeauu,Galetadan veya kızarmış ekmek kabuğundan yapılan un,5
galeyan,aea,kaynama,3
galeyanlı,aeaı,Galeyana gelmiş olan,4
gali,ai,Alçak ve altı düz gemi,2
galiba,aia,"Görünüşe göre, sanılır ki, anlaşıldığı gibi",3
galibarda,aiaa,Mora çalan kırmızı,4
galibiyet,aiie,yengi,4
galip,ai,"Bir yarışma, karşılaşma, çatışma vb. sonunda yenen, üstün gelen, başarı kazanan",2
galiz,ai,Kaba ve çirkin,2
galon,ao,Anglosaksonların kullandığı yaklaşık dört buçuk litrelik bir tür ölçü birimi,2
galop,ao,At yarışında veya hazırlık çalışmasında atın yaptığı derece,2
galoş,ao,"Sağlık kurumları, müzeler vb. yerlerde özel bölümlere girerken ayakkabıya geçirilen ince ve şeffaf kılıf",2
galoşlu,aou,Galoşu olan,3
galoşsuz,aou,Galoşu olmayan,3
galsame,aae,solungaç,3
galvaniz,aai,"""Üzeri değerli madenlerle kaplanacak bir bakır levhanın batırıldığı altın, gümüş veya platin banyosu"" anlamına gelen galvaniz banyosu birleşik sözünde geçen bir söz",3
galvanizci,aaii,Madenî parçaların sıcakta daldırma yöntemiyle galvanizlenmesinde kullanılan erimiş çinko banyosunu hazırlamak ve denetlemekle görevli işçi,4
galvanize,aaie,Paslanmaktan korumak için erimiş çinkoya batırılarak kaplanmış,4
galvanizleme,aaiee,Galvanizlemek işi,5
galvanizlemek,aaiee,Madenî bir parçayı paslanmaktan korumak için galvaniz banyosunda erimiş çinko ile kaplamak,5
galvanizlenme,aaiee,Galvanizlenmek işi,5
galvanizlenmek,aaiee,Galvanizleme işi yapılmak,5
galvanizletme,aaiee,Galvanizletmek işi,5
galvanizletmek,aaiee,Galvanizle kaplatmak,5
galvanizli,aaii,Galvanizlenmiş (madde),4
galvanizm,aai,Canlı organizmalarda doğru akımın etkisi olayı,3
galvanizsiz,aaii,Galvanizlenmemiş (madde),4
galvano,aao,Elektroliz yoluyla yapılmış resim klişesi,3
galvanokoter,aaooe,Elektrikle kızdırılan dağlağı,5
galvanometre,aaoee,Mıknatıslı iğnede oluşan sapmaları gözlemek yoluyla elektrik akımının şiddetini ölçmeye yarayan cihaz,5
galvanoplasti,aaoai,"İçinde herhangi bir maden erimiş bulunan bir sıvıya, istenilen eşyayı daldırıp sıvıdan elektrik akımı geçirmek yoluyla o eşyayı bir maden tabakasıyla kaplama işlemi",5
galvanoskop,aaoo,Manyetik bir ibre yardımıyla elektrik akımının varlığını veya yönünü gösteren cihaz,4
galvanotip,aaoi,Galvanoplasti yoluyla hazırlanan ve tipo baskıda kullanılan kabartma klişe,4
galyot,ao,"Başı ve kıçı çok yuvarlak, gulet tipinde, altı düz bir gemi",2
galyum,au,"Atom numarası 31, atom ağırlığı 69,72, yoğunluğu 5,9 olan, 29,8 °C'de eriyen, çok seyrek bulunan, alüminyumu andıran bir element (simgesi Ga)",2
gam,a,kaygı,1
gama,aa,Yunan alfabesinin üçüncü harfi (g),2
gamalı,aaı,"Bazı eski dinlerin ve Nazizm'in sembolü olan, uçları Yunancanın gama harfi biçiminde kırılmış (haç)",3
gamba,aa,İyi toplanmamış halat veya zincirlerde ortaya çıkan dolaşıklık,2
gambot,ao,topçeker,2
gamet,ae,Erkek veya dişi üreme hücresi,2
gametli,aei,"Gameti olan, gamet oluşturan",3
gametsiz,aei,Gameti olmayan,3
gamlandırma,aaıa,kaygılandırma,4
gamlandırmak,aaıa,kaygılandırmak,4
gamlanma,aaa,kaygılanma,3
gamlanmak,aaa,kaygılanmak,3
gamlı,aı,kaygılı,2
gamlılık,aıı,kaygılılık,3
gammaz,aa,ispiyoncu,2
gammazlama,aaaa,ispiyonlama,4
gammazlamak,aaaa,ispiyonlamak,4
gammazlanma,aaaa,ispiyonlanma,4
gammazlanmak,aaaa,ispiyonlanmak,4
gammazlık,aaı,ispiyonculuk,3
gamsele,aee,"Kauçuktan yapılmış, su geçirmeyen yağmurluk",3
gamsız,aı,kaygısız,2
gamsızlık,aıı,kaygısızlık,3
gamze,ae,"Bazı insanların çenelerinde, yanaklarında doğal olarak bulunan özellikle güldüklerinde daha iyi görülen küçük çukur",2
gamzeli,aei,Gamzesi olan,3
gamzesiz,aei,Gamzesi olmayan,3
Ganalı,aaı,Gana’da yaşayan halk veya bu halkın soyundan olan kimse,3
gang,a,"Bir maden cevherini, bir değerli taşı saran değersiz madde",1
gangama teknesi,aaaeei,"Suyun dibini tarayan, sünger avcılığında kullanılan tekne türü",6
gangliyon,aio,Sinirlerde ve lenf damarlarında yer yer ortaya çıkan yuvarlak şişlik,3
gangster,ae,Yasa dışı işler yapan çete üyesi,2
gangsterlik,aei,Gangster olma durumu,3
gani,ai,"Bol, çok olan",2
gani gani,aiai,bol bol,4
gani gönüllü,aiöüü,"Cömert, eli açık olan (kimse)",5
ganimet,aie,Savaşta düşmandan zorla ele geçirilen mal; şikâr,3
ganyan,aa,At yarışlarında birinciliği kazanan (at),2
gar,a,Demir yolu ile yolculuk edenlerin gereksinimlerinin geniş ölçüde karşılandığı büyük tren istasyonu,1
garabet,aae,tuhaflık,3
garaip,aai,"Görülmemiş, şaşılacak şeyler, işitilmemiş olaylar",3
garaj,aa,Otomobil vb. taşıtların konulduğu üstü örtülü yer; arabalık,2
garajcı,aaı,"Otomobil, otobüs vb. taşıtları belli bir süre barındıran, gereğinde bakım ve onarımlarını yaptıran işletmeci",3
garami,aai,"Düşünceden çok, canlı duygulara ve aşka dayanan (sanat eseri)",3
garanti,aai,güvence,3
garantileme,aaiee,Garantilemek işi,5
garantilemek,aaiee,"Bir işin gerçekleşmesi için gereken önlemleri almak, sağlama bağlamak",5
garantili,aaii,güvenceli,4
garantisiz,aaii,güvencesiz,4
garantör,aaö,"Bir konuda güvence veren ve bunun gerçekleşmesini gözeten ve denetleyen (kimse, kuruluş veya devlet); güvenceci",3
garaz,aa,kin,2
garazkâr,aa,garazlı,2
garazkârlık,aaı,Garazkâr olma durumu,3
garazlı,aaı,"Kin güden, garazı olan; garazkâr",3
garazsız,aaı,"Kin beslemeyen, garazı olmayan",3
garazsız ivazsız,aaıiaı,Hiçbir gizli maksat gütmeden,6
garazsızlık,aaıı,Garazsız olma durumu,4
Garbi,ai,batı,2
garç gurç etmek,auee,"""garç gurç"" diye ses çıkarmak",4
garç gurç,au,Birbirine sürtünen nesnelerin çıkardığı ses,2
gard,a,"Eskrim, boks vb. oyunlarda korunmak için alınan durum",1
gardenparti,aeai,Bir bahçede veya parkta yapılan yemekli şölen,4
gardenya,aea,"Kök boyasıgillerden, sıcak bölgelerde yetişen bir ağaç veya ağaççık cinsi (Gardenia)",3
gardıfren,aıe,Trenlerde vagon frenlerini işleten kimse,3
gardırop,aıo,giysi dolabı,3
gardıropçu,aıou,giydirici,4
gardıropçuluk,aıouu,giydiricilik,5
gardiyan,aia,infaz ve koruma memuru,3
gardiyanlık,aiaı,infaz ve koruma memurluğu,4
gargar,aa,Süzgeçli testi,2
gargara,aaa,Su veya ilaçlı sıvı ile ağız veya yutağı başı arkaya atıp solukla da sıvının yutulmasını engelleyerek çalkalama işi,3
gariban,aia,"Kimsesiz, zavallı, garip olan",3
garibanlık,aiaı,Gariban olma durumu,4
garibe,aie,"Şaşılacak şey, yadırganacak şey",3
garip,ai,"Kimsesiz, zavallı olan",2
garipleşme,aiee,Garipleşmek işi,4
garipleşmek,aiee,Garip bir duruma gelmek,4
gariplik,aii,tuhaflık,3
garipseme,aiee,Garipsemek işi,4
garipsemek,aiee,Kendini gurbette veya kimsesiz gibi düşünerek içlenmek,4
garipsenme,aiee,Garipsenmek işi,4
garipsenmek,aiee,Garipseme işi yapılmak,4
gark,a,"Suya batma, suda boğulma",1
gark etmek,aee,"batırmak, boğmak",3
gark olmak,aoa,"gömülmek, batmak",3
garnitür,aiü,"Et veya balık gibi asıl yemeğin yanına eklenen sebze, patates vb. yiyecekler",3
garnitürlü,aiüü,Garnitürü olan,4
garnitürsüz,aiüü,Garnitürü olmayan,4
garnizon,aio,Bir şehri savunan veya yalnız orada bulunan askerî birlikler,3
garoz,ao,Palamut ve toriğin iç organları,2
garp,a,batı,1
Garp,a,batı,1
garpçı,aı,Batıcı,2
garpçılık,aıı,Batıcılık,3
garpkâri,ai,Batı örneklerine benzer,2
garplı,aı,Batılı,2
Garplı,aı,Batılı,2
garplılaşma,aıaa,Batılılaşma,4
Garplılaşma,aıaa,Batılılaşma,4
Garplılaşmak,aıaa,Batılılaşmak,4
garplılaşmak,aıaa,Batılılaşmak,4
Garplılaştırma,aıaıa,Batılılaştırma,5
garplılaştırma,aıaıa,Batılılaştırma,5
Garplılaştırmak,aıaıa,Batılılaştırmak,5
garplılaştırmak,aıaıa,Batılılaştırmak,5
Garplılık,aıı,Batılılık,3
garplılık,aıı,Batılılık,3
garsiyat,aia,"Ağaç dikmeler, ağaçlandırmalar",3
garson,ao,"Lokanta, pastane, kahvehane vb. yerlerde müşterilere hizmet eden kimse",2
garsoniyer,aoie,"Bazı erkeklerin, evlilik dışı ilişkiler için kendi konutlarından ayrı olarak tuttukları özel konut",4
garsonluk,aou,Garson olma durumu,3
gasbetme,aee,Gasbetmek işi,3
gasbetmek,aee,Sahibinin izni ve haberi olmadan malı zorla almak,3
gaseyan,aea,İç bulantısı,3
gasil,ai,ölü yıkama,2
gasletme,aee,Gasletmek işi,3
gasletmek,aee,Ölüyü cenaze namazı kılınmadan önce dinî usullere göre yıkamak,3
gasp,a,Bir malı sahibinin izni ve haberi olmadan zorla alma,1
gassal,aa,ölü yıkayıcı,2
gastrit,ai,Mide iç zarının yangısı,2
gastroenterolog,aoeeoo,sindirim bilimci,6
gastroenteroloji,aoeeooi,sindirim bilimi,7
gastroenterolojik,aoeeooi,Sindirim bilimi ile ilgili,7
gastronom,aoo,"Damak zevki olan, ağzının tadını bilen, iyi yemekten anlayan kimse",3
gastronomi,aooi,Gerek yiyecek içecek yapma yöntemlerine gerek yemek pişirme tekniklerine ilişkin bilgilerin tümü,4
gastroskop,aoo,"Yemek borusu, mide ve on iki parmak bağırsağının gözle görülmesini sağlayan, hastaya ağız yolu ile uygulanan fiberoptik alet",3
gastroskopi,aooi,Gastroskopla yapılan inceleme,4
gastrula,aua,Yumurta hücresi oğulcuk durumuna gelirken blastulanın bir noktasından çukurlaşarak iç içe geçmiş iki hücre katmanı biçimine girme evresi,3
gaşiy,ai,esrime,2
gaşyolma,aoa,esrime,3
gaşyolmak,aoa,esrimek,3
gato,ao,pasta (I),2
gauss,au,Manyetik alanın şiddet birimi,2
gavot,ao,Bir tür eski Fransız halk dansı,2
gâvur,u,Dinsiz kimse,1
gâvur baklası,uaaı,termiye,4
gâvur eziyeti,ueiei,"Bile bile verilen zahmet, eziyetli iş",5
gâvur icadı,uiaı,Batı yapısı teknik eşyaya tutucu çevrelerin verdiği ad,4
gâvur inadı,uiaı,"Yumuşatılamayan, yok edilemeyen inat",4
gâvurca,ua,Batılıların konuştuğu yabancı dillerden herhangi biri,2
gâvurcasına,uaıa,gâvurca,4
gâvurlaşma,uaa,Gâvurlaşmak işi,3
gâvurlaşmak,uaa,"Toplumun genel kabullerinin dışına çıkmaya, başka dinlere mensupmuş gibi davranmaya başlamak",3
gâvurluk etmek,uuee,"acımasız, insafsız davranışlarda bulunmak, gaddarlık etmek",4
gâvurluk,uu,Gâvur olma durumu,2
gayakol,aao,Peygamber ağacı reçinesinden çıkarılan ve hekimlikte kullanılan bir sıvı,3
gaybubet,aue,yokluk,3
gayda,aa,"Kamıştan yapılmış çift düdük ve tulumdan oluşan, tiz sesli, nefesli, İskoçların millî çalgısı",2
gaydacı,aaı,Gayda çalan veya yapıp satan kimse,3
gaye,ae,amaç,2
gayeli,aei,amaçlı,3
gayesiz,aei,amaçsız,3
gayesizlik,aeii,amaçsızlık,4
gayet,ae,"Pek, çok, pek çok, aşırı bir biçimde",2
gayetle,aee,Aşırı derecede,3
gayr,a,"Başka kimse, başkası",1
gayret,ae,Çalışma isteği; mücahede,2
gayret kuşağı,aeuaı,Babaevinden çıkarken aile büyükleri veya erkek kardeşlerinden biri tarafından gelinin beline dolanan kırmızı kuşak,5
gayretkeş,aee,çalışkan,3
gayretkeşlik,aeei,Gayretkeş olma durumu,4
gayretlenme,aeee,Gayretlenmek işi,4
gayretlenmek,aeee,Çalışma isteği duymak veya çalışma isteği artmak,4
gayretli,aei,"Çalışkan, çaba gösteren",3
gayretlilik,aeii,Gayretli olma durumu,4
gayretsiz,aei,"Çalışmayan, çaba göstermeyen",3
gayretsizlik,aeii,Gayretsiz olma durumu,4
gayrı,aı,başka,2
gayri,ai,gayrı,2
gayriahlaki,aiaai,ahlak dışı,5
gayriciddi,aiii,laubali,4
gayriihtiyari,aiiiai,istem dışı,6
gayriinsani,aiiai,insanlık dışı,5
gayriiradi,aiiai,irade dışı,5
gayrikabil,aiai,imkânsız,4
gayrikanuni,aiaui,yasa dışı,5
gayrimahdut,aiau,sınırsız,4
gayrimakul,aiau,akıl dışı,4
gayrimemnun,aieu,"Bulunduğu durumdan, yapılan işten memnun olmayan",4
gayrimenkul,aieu,taşınmaz,4
gayrimeskûn,aie,"Yerleşilmemiş, üstünde oturulmayan boş (yer)",3
gayrimeşru,aieu,yasa dışı,4
gayrimuayyen,aiuae,belirsiz,5
gayrimuntazam,aiuaa,düzensiz,5
gayrimümkün,aiüü,imkânsız,4
gayrimüslim,aiüi,Müslüman olmayan kimse,4
gayrinizami,aiiai,düzensiz,5
gayriresmî,aie,Devletin koyduğu kurallar dışında kalan,3
gayrisafi,aiai,karışık,4
gayrisafi hasılat,aiaiaıa,Net olmayan gelir,7
gayrisafi millî hasıla,aiaiiaıa,Bir ülkede bir yıl süresince üretilen mal ve hizmetlerin piyasa fiyatları üzerinden hesaplanan toplam değeri,8
gayrisıhhi,aiıi,sağlıksız,4
gayrişahsi,aiai,"İnsanın kişiliğine ait olmayan, kendi dışında olan",4
gayritabii,aiaii,sıra dışı,5
gayur,au,"Gayreti olan, gayretli, çok çalışkan",2
Gayya,aa,gayya kuyusu,2
gayya,aa,gayya kuyusu,2
gayya kuyusu,aauuu,"İçine düşüldüğünde kolay çıkılamayan dertli, belalı yer veya durum; gayya",5
gayz,a,hınç,1
gayzer,ae,kaynaç,2
gayzerit,aei,kaynaç taşı,3
gaz,a,Gazze’de dokunan ince ve çok seyrek keten bez,1
gaz beton,aeo,"İçeriğinde yüksek miktarda hava boşluğu bulunduran, ısı ve ses yalıtımı sağlayan, kuvarsit, çimento, kireç ve suyun karışımından oluşan hafif yapı malzemesi",3
gaz bombası,aoaı,"İçinde, atıldığında canlılara zarar verecek gazlar bulunan bomba",4
gaz boyaması,aoaaı,"Eskiden başa, hediyelik eşyalara ve özellikle lohusa şerbeti güğümlerine sarılıp bağlanan, kırmızı veya mor renkte tülbent",5
gaz göstergesi,aöeei,Sıvılaştırılmış petrol gazı ile çalışan motorlu araçlarda gazın düzeyini gösteren alet,5
gaz ibiği,aiii,Gaz lambasının gazın yanması için üzerinde fitil bulunan ağzı,4
gaz lambası,aaaı,"İçine konan gaz yağını bir fitil yardımıyla yakan, şişeli, türlü biçimlerde lamba; gaz (II)",4
gaz maskesi,aaei,"Zehirli gazlardan korunmak amacıyla özel olarak yapılmış, ağız ve burnu kapatan gereç",4
gaz ocağı,aoaı,Gaz yağıyla yanan ocak,4
gaz ölçümü,aöüü,"Gazların hacim, yoğunluk vb. niteliklerinin ölçülmesi; gazometri",4
gaz pedalı,aeaı,Motorlu taşıtlarda aracın hızını ayarlamaya yarayan aygıt,4
gaz sayacı,aaaı,"İçinden geçen gazın ne kadar olduğunu ölçen araç; doğal gaz sayacı, hava gazı sayacı",4
gaz sobası,aoaı,"Gaz yağı ile çalışan, ısıtma amacıyla kullanılan bir tür soba; gaz yağı sobası",4
gaz taşı,aaı,Bileme işinde kullanılan bir tür taş,3
gaz yağı,aaı,"Ham petrolün 150-250 °C'ler arasında işlenmesiyle elde edilen renksiz veya sarı renkte akaryakıt; taş yağı, gaz (II)",3
gaz yuvarı,auaı,atmosfer,4
gaza,aa,İslam dinini korumak veya yaymak amacıyla Müslüman olmayanlara karşı yapılan kutsal savaş,2
gazal,aa,ceylan,2
gazap,aa,öfke,2
gazaplandırma,aaaıa,Gazaplandırmak işi,5
gazaplandırmak,aaaıa,"Öfkelendirmek, kızdırmak",5
gazaplanma,aaaa,Gazaplanmak işi,4
gazaplanmak,aaaa,"Öfkelenmek, kızmak",4
gazaplı,aaı,"Öfkeli, kızgın, hiddetli olan",3
gazapsız,aaı,"Öfkeli, kızgın, hiddetli olmayan",3
gazeki,aei,Cepken altına giyilen kolsuz bir tür giysi,3
gazel,ae,"Divan edebiyatında 5-10 beyit arasında değişen, ilk beytinin dizeleri birbiriyle, sonraki beyitlerinin ikinci dizeleri birinci beyitle uyaklı, genellikle lirik konularda yazılan nazım biçimi",2
gazel damarı,aeaaı,Gazel vb. icra ederken yüksek sesten dolayı ortaya çıkan boyun damarı,5
gazelhan,aea,"Gazel okuyan, gazel söyleyen kimse",3
gazelhanlık,aeaı,Gazelhanın yaptığı iş,4
gazelimsi,aeii,"Gazeli andıran, gazele benzeyen, gazel gibi",4
gazeliyat,aeia,Bir şairin divanında bulunan gazeller bölümü,4
gazellenme,aeee,Gazellenmek işi,4
gazellenmek,aeee,Ağaç yapraklarını dökmek,4
gazete,aee,"Politika, ekonomi, kültür ve daha başka konularda haber ve bilgi vermek için yorumlu veya yorumsuz, her gün veya belirli zaman aralıklarıyla çıkarılan yayın; ceride",3
